排名	词语	全局频次	共现种子种类	共现总权重	得分	主要共现种子
216	的诊断	8	8	71.09	34.2238	急性加重(14.2), 慢阻肺(12.0), 更新要点(9.3), 依据(8.3), 诊断(8.2)
217	患者在	7	8	68.69	33.9519	暴露(11.2), 条件(10.7), 临床(8.7), 运动(8.4), 行走(8.3)
218	的作	5	8	66.23	33.6649	范围(11.1), 任何(10.6), 试验(10.0), 分析(8.4), 评价(8.1)
219	的作用	5	8	66.23	33.6649	范围(11.1), 任何(10.6), 试验(10.0), 分析(8.4), 评价(8.1)
220	的气道	6	8	66.21	33.6626	狭窄(14.4), 终末(9.9), 引起(9.9), 功能(7.5), 异常(7.2)
221	的持	5	8	66.09	33.6477	治疗(13.3), 扩张(8.8), 恶化(8.2), 小气道(7.9), 尤其是(7.9)
222	的持续	5	8	66.09	33.6477	治疗(13.3), 扩张(8.8), 恶化(8.2), 小气道(7.9), 尤其是(7.9)
223	中可	6	8	65.86	33.6209	遵循(12.2), 戒烟(8.9), 全程管理(8.9), 工作(8.4), 预防(8.3)
224	性别	6	7	120.2	33.5823	年龄(49.4), 负担(21.6), 疾病(13.2), 慢阻肺(12.0), 杂志(9.7)
225	评估患	6	8	65.1	33.5295	委员会(9.2), 注意(9.1), 基层医疗机构(9.1), 然而(8.6), 分析(8.4)
226	患者使	6	8	64.96	33.5121	装置(10.7), 注意(9.1), 风险(8.9), 支气管(7.9), 异常(7.2)
227	的慢阻肺患	12	8	64.95	33.5111	黏液高分泌(11.4), 疫苗(10.5), 风险(8.9), 呼吸道感染(7.4), 急性加重(7.1)
228	和心	5	8	64.6	33.4692	衰竭(10.4), 心律失常(8.4), 心力衰竭(8.3), 高碳酸血症(7.9), 低氧血症(7.7)
229	2慢	10	8	64.4	33.4439	团队(12.5), 受限(8.5), 诊断(8.2), 进展(7.6), 症状(7.3)
230	或急性	8	8	63.46	33.3279	引起(9.9), 暴露史(8.9), 诊断(8.2), LAMALABA(7.9), ICSLABA(7.7)
231	者治	7	8	63.27	33.3047	急性加重(14.2), 干预(8.5), 呼吸困难(7.6), 症状(7.3), 气流受限(7.1)
232	加以	5	8	63.21	33.2968	文献(10.0), 调整(9.4), 作用机制(8.8), 因素(7.6), 特别是(7.4)
233	估是	4	8	61.62	33.0971	初始(10.1), 风险(8.9), 戒烟(8.9), 依据(8.3), 要求(7.1)
234	的多	4	8	60.59	32.9635	健康(9.1), 全身(8.6), 支气管舒张剂(8.4), 方面(7.9), 表现为(7.3)
235	的高	6	8	59.89	32.8723	控制(9.1), 人群(8.9), 风险(8.9), 因素(7.6), 气流受限(7.1)
236	和改	3	8	59.36	32.8029	预防(8.3), 低氧血症(7.7), 呼吸困难(7.6), 功能(7.5), 特别是(7.4)
237	和改善	3	8	59.36	32.8029	预防(8.3), 低氧血症(7.7), 呼吸困难(7.6), 功能(7.5), 特别是(7.4)
238	COPD患	6	8	58.53	32.6914	任何(10.6), 超过(8.3), 稳定期(7.7), 要求(7.1), 治疗(6.7)
239	COPD患者	6	8	58.53	32.6914	任何(10.6), 超过(8.3), 稳定期(7.7), 要求(7.1), 治疗(6.7)
240	是与	5	8	58.18	32.6449	事件(10.4), 终点(9.2), 患者(6.8), 治疗(6.7), 疾病(6.6)
241	的情	6	8	57.99	32.6186	胆碱(10.6), 处理(8.3), 心血管(7.7), 医院(7.0), 合并症(7.0)
242	严重程度的	7	8	55.79	32.3149	损害(10.0), 定义(7.6), 综合评估(7.5), 气流受限(7.1), 疾病(6.6)
243	重程度的	7	8	55.79	32.3149	损害(10.0), 定义(7.6), 综合评估(7.5), 气流受限(7.1), 疾病(6.6)
244	的抗	6	8	55.67	32.2985	方案(8.9), 作用机制(8.8), 药物(7.7), 合并(7.2), 急性加重(7.1)
245	对重	3	8	55.01	32.2038	检查(8.8), 急性加重(7.1), 程度(7.1), 合并症(7.0), 治疗(6.7)
246	和国	4	7	83.84	31.0855	卫生(16.1), 中华(14.9), 国家(14.6), 负担(10.8), 资源(10.6)
247	因素和	4	7	81.41	30.8817	环境(22.7), 因素(15.2), 个体(14.0), 预后不良(8.6), 常见(7.5)
248	性肺病	27	6	170.51	30.8678	治疗(119.9), 全球(24.4), 患者(6.8), 气流阻塞(6.7), 预后(6.6)
249	和吸	8	7	79.06	30.6791	吸入(19.6), 操作(17.6), 口服(9.9), 糖皮质激素(8.8), 激动剂(8.5)
250	和相	6	7	78.42	30.6234	指导原则(16.9), 依据(16.5), 气流受限(14.2), 区域(9.5), 种族(8.6)
251	治疗或	6	7	76.6	30.4612	治疗(26.6), 联合(14.2), 方面(7.9), 改变(7.9), ICSLABA(7.7)
252	JEurRespir	22	7	75.09	30.3233	inCOPD(16.7), noninvasive(13.6), airflowobstruction(11.8), obstructivepulmonarydisease(8.7), chronicobstructivepulmonarydisease(8.5)
253	者呼吸	7	7	73.57	30.1823	症状(22.0), 疲劳(12.7), 酸中毒(10.1), 康复(8.3), 减轻(8.2)
254	可行	5	7	73.49	30.1746	试验(19.9), 双盲(10.9), 安慰剂对照(10.0), 机构(9.1), 分析(8.4)
255	和管	4	7	73.18	30.1451	预防(16.6), 治疗(13.3), 问题(10.1), 慢阻肺病(9.8), 方案(8.9)
256	构的	5	7	71.12	29.9479	仪器(21.7), 肺功能(11.0), 临床(8.7), 稳定(8.6), 变化(7.2)
257	疗呼	4	7	70.75	29.9123	康复(25.0), 噻托溴铵(11.3), 运动(8.4), 呼吸(6.9), 患者(6.8)
258	病风险	5	7	70.42	29.88	更新(15.5), 心血管(15.4), 因素(15.2), 暴露史(8.9), 制剂(6.3)
259	或呼	4	7	70.0	29.8384	潴留(13.1), 疲劳(12.7), 酸中毒(10.1), 咳嗽咳痰(9.9), 引起(9.9)
260	有多	5	7	68.73	29.7122	危险因素(17.6), 探讨(11.3), 试验(10.0), 手口协调(9.7), 值得(7.7)
261	NEngl	15	7	68.51	29.6904	obstructivepulmonarydisease(17.4), metaanalysis(11.8), 技术(10.1), lungfunction(9.6), chronicobstructivepulmonarydisease(8.5)
262	andmeta	5	7	68.45	29.6839	asystematic(17.8), systematicreview(11.7), lungcancer(10.3), randomizedcontrolled(10.0), JChest(6.7)
263	病学分会	14	6	139.78	29.6834	呼吸(103.1), 组织(9.8), 感染(9.1), 中国(6.3), 慢阻肺(6.0)
264	加重和	6	7	68.3	29.6696	合并症(14.0), 频繁(10.9), 疑似(10.3), 感染(9.1), 住院(8.8)
265	的年	6	7	68.14	29.6533	急性加重(14.2), 锻炼(14.0), 康复(8.3), 年龄(8.2), 诊断(8.2)
266	高压的	4	7	68.08	29.6466	内容(25.1), 说明(9.0), 本文(8.5), 动脉(8.2), 治疗(6.7)
267	发现的	4	7	67.75	29.6136	任何(21.2), 风险(8.9), 其他(8.5), 其它(8.2), 减轻(8.2)
268	和其	4	7	67.07	29.5439	PDE4抑制剂(15.4), 急性加重(14.2), 烟草烟雾(9.0), 上述(8.3), 预防(8.3)
269	治的	6	7	65.93	29.4255	疾病(13.2), 慢阻肺(12.0), 问题(10.1), 关键(8.6), 其他(8.5)
270	患者合	7	7	65.75	29.407	慢阻肺(18.0), 睡眠障碍(10.0), 手术(8.7), 高血压(8.4), 心力衰竭(8.3)
271	治疗期	4	7	65.57	29.3879	LABALAMA(17.0), 随访(9.6), 罗氟司特(9.2), 维持(8.8), 药物(7.7)
272	疗期	4	7	65.57	29.3879	LABALAMA(17.0), 随访(9.6), 罗氟司特(9.2), 维持(8.8), 药物(7.7)
273	应评	6	7	65.38	29.3679	患者(20.5), 戒烟(8.9), 方案(8.9), 抗菌(8.2), 急性加重(7.1)
274	4慢	5	7	64.49	29.2732	输送(14.4), 组织(9.8), 影像(9.6), 胸部(8.1), LAMALABA(7.9)
275	检查和	5	7	64.11	29.233	治疗(13.3), 恩塞芬汀(12.7), 全身(8.6), 其他(8.5), 右心(7.9)
276	属第一	12	6	129.39	29.2232	医院(69.9), 广州(32.7), 国家(7.3), 呼吸(6.9), 治疗(6.7)
277	吸烟的	3	7	63.82	29.2009	既往(11.8), 焦虑抑郁(10.6), 任何(10.6), 健康(9.1), 尤其是(7.9)
278	者不	7	7	63.68	29.1864	常规(14.7), 缺乏(10.8), 意识障碍(9.8), 问卷(9.3), 低氧血症(7.7)
279	应确	3	7	63.46	29.1618	寒冷(13.0), 季节(10.7), 试验(10.0), 安全性数据(9.5), 定义(7.6)
280	住院的	4	7	63.33	29.1484	患者(13.7), 伴有发热(10.9), 戒烟(8.9), 其他(8.5), 心力衰竭(8.3)
281	疗慢阻	8	7	63.32	29.1466	急性加重(14.2), 营养(12.1), 组织(9.8), 栓塞(8.2), 保持(8.0)
282	有研究	7	7	63.22	29.1365	治疗(13.3), 领域(12.7), 争议(9.6), 然而(8.6), 提示(7.9)
283	导和	3	7	62.82	29.093	患者(13.7), 负责(10.5), 教育(10.3), 论文(8.4), 定期随访(7.8)
284	性或	3	7	62.74	29.0841	职业(12.3), 环境(11.4), 问题(10.1), 收缩(9.9), 控制(9.1)
285	更有	5	7	61.55	28.9513	轨迹(13.0), 信息(9.8), 水平(9.6), 减轻(8.2), 急性加重(7.1)
286	示肺	3	7	61.47	28.9423	浸润(13.6), 线胸片(10.9), 准确地(9.9), 异常(7.2), 变化(7.2)
287	使用支	12	7	61.15	28.9072	支气管舒张剂(16.8), 条件(10.7), 方面(7.9), 功能(7.5), 患者(6.8)
288	者数	6	6	122.69	28.9066	近亿(35.5), 我国(24.3), 每年(23.4), 超过(16.6), 慢阻肺(12.0)
289	者或	5	7	60.95	28.8839	既往(11.8), 损伤(10.7), 罕见(9.9), 住院(8.8), 急性加重(7.1)
290	作用的	5	7	60.84	28.8714	结果(15.1), 支气管扩张(8.7), 确保(8.2), 共同(8.0), 药物(7.7)
291	剂或	3	7	60.61	28.8455	长效(14.0), 扩张(8.8), 糖皮质激素(8.8), 支气管扩张(8.7), 激动剂(8.5)
292	心的	3	7	60.41	28.8233	获益(10.5), 占预计值(9.7), 提供(9.5), 康复(8.3), 高碳酸血症(7.9)
293	的方	6	7	60.03	28.7791	遵循(12.2), 家庭(10.2), 运动能力(8.9), 运动(8.4), 支气管(7.9)
294	中医	4	7	60.02	28.7786	治疗(13.3), 文献(10.0), 杂志(9.7), 原则(8.8), 国家(7.3)
295	对疾	4	7	59.9	28.7645	什么(13.8), 临床(8.7), 漏诊(8.4), 严重程度(8.0), 综合评估(7.5)
296	对疾病	4	7	59.9	28.7645	什么(13.8), 临床(8.7), 漏诊(8.4), 严重程度(8.0), 综合评估(7.5)
297	受LABA	5	7	59.9	28.7645	试验(10.0), 数字(9.4), 罗氟司特(9.2), 自我管理(8.9), 血嗜酸粒细胞(8.5)
298	为重	5	7	59.8	28.7536	教育(10.3), 基层(8.9), 原则(8.8), 临床(8.7), 栓塞(8.2)
299	3慢	5	7	59.64	28.735	修订版(9.6), 风险(8.9), 衰老(8.7), 心律失常(8.4), 预防(8.3)
300	选的	3	7	59.63	28.7338	患者(13.7), 衰竭(10.4), 方案(8.9), 呼吸(6.9), 支持(6.8)
301	或患者	5	7	59.57	28.7271	吸入(13.1), 意识障碍(9.8), 方案(8.9), 心力衰竭(8.3), 合并(7.2)
302	疗3	3	7	59.44	28.7119	恩塞芬汀(12.7), FEVFVC(8.9), 维持(8.8), 支气管舒张剂(8.4), 依据(8.3)
303	并进	3	7	59.28	28.6927	密切(12.3), 技术(10.1), 随访(9.6), 处理(8.3), 吸入(6.5)
304	并进行	3	7	59.28	28.6927	密切(12.3), 技术(10.1), 随访(9.6), 处理(8.3), 吸入(6.5)
305	管理和	3	7	58.81	28.6385	规范(9.6), 随访(9.6), 支气管扩张(8.7), 其他(8.5), 预防(8.3)
306	重需	3	7	58.39	28.5895	胃肠(12.0), 给予(10.8), 心力衰竭(8.3), 预防(8.3), 胸部(8.1)
307	或合并	4	7	57.96	28.5386	蛋白酶(11.2), 哮喘(11.2), 年龄岁(8.7), LABALAMAICS(7.7), ICSLABA(7.7)
308	肺与	3	7	57.96	28.538	简称(10.8), 影像(9.6), 全身(8.6), 其他(8.5), 医院(7.0)
309	于疾	6	7	57.75	28.5133	严重程度(16.0), 预防(8.3), 早期(7.6), 进展(7.6), 治疗(6.7)
310	吸功	4	7	57.47	28.4796	疲劳(12.7), 缩短(9.3), 临床(8.7), 指南(8.3), 方面(7.9)
311	中对	4	7	57.45	28.4774	试验(10.0), 随访(9.6), 临床(8.7), 指南(8.3), 气流受限(7.1)
312	治疗不	4	7	57.27	28.4557	纠正(11.0), 规范(9.6), 作用机制(8.8), 升级(8.2), 稳定期(7.7)
313	疗不	4	7	57.27	28.4557	纠正(11.0), 规范(9.6), 作用机制(8.8), 升级(8.2), 稳定期(7.7)
314	用和	7	7	56.99	28.4223	茶碱(10.8), 资源(10.6), 方案(8.9), 联合(7.1), 合并症(7.0)
315	评估是	4	7	56.96	28.4179	初始(10.1), 风险(8.9), 戒烟(8.9), 依据(8.3), 要求(7.1)
316	治疗时	7	7	56.88	28.4085	吸入(13.1), 受体激动剂(8.5), 延长(8.1), 雾化(7.7), 程度(7.1)
317	动的	7	7	56.81	28.4001	房颤(12.6), 肌肉(10.7), 内容(8.4), 雾化(7.7), 治疗(6.7)
318	于肺	8	7	56.75	28.3928	广泛(10.7), 损伤(10.7), 区域(9.5), 衰老(8.7), 分级(6.5)
319	早治	3	7	56.65	28.3805	问题(10.1), 全程管理(8.9), 关键(8.6), 其他(8.5), 低氧血症(7.7)
320	重可	6	7	56.25	28.3321	慢阻肺(12.0), 占预计值(9.7), 风险(8.9), 因素(7.6), 并发症(7.2)
321	患者治	6	7	56.18	28.3238	急性加重(14.2), 干预(8.5), 呼吸困难(7.6), 症状(7.3), 增加(6.6)
322	病COPD	22	5	285.86	28.295	药物(138.7), 治疗(126.5), 规范(9.6), 气流阻塞(6.7), 用于(4.3)
323	使用或	3	7	55.73	28.2677	哮喘(11.2), 风险(8.9), 方面(7.9), 合并(7.2), 联合(7.1)
324	但肺	3	7	55.37	28.2238	初始(10.1), 损害(10.0), 呼吸困难(7.6), 功能(7.5), 比值(7.4)
325	患者需	4	7	55.11	28.1907	调整(9.4), 筛查(9.1), 高碳酸血症(7.9), 心血管(7.7), 因素(7.6)
326	时间的	5	7	54.96	28.1723	足够(10.2), 参考值(8.4), 延长(8.1), 至少(8.1), 药物(7.7)
327	当慢	5	7	54.78	28.1498	SARSCoV(14.0), 修订版指南(9.2), 功能(7.5), 治疗(6.7), 疾病(6.6)
328	生中	4	7	54.44	28.1069	遵循(12.2), 社区(9.7), 特别是(7.4), 症状(7.3), 个体(7.0)
329	的标准	4	7	54.32	28.0922	基础(9.0), 临床(8.7), 理想(8.6), 干预(8.5), 评价(8.1)
330	内的	3	7	54.17	28.0729	环境(11.4), 住院(8.8), 其他(8.5), 更新(7.7), 急性加重(7.1)
331	吸入治疗	7	7	54.09	28.0623	首选(8.9), 住院(8.8), 药物(7.7), 雾化(7.7), 联合(7.1)
332	在中	3	7	53.49	27.9858	重度(9.2), 终点(9.2), 糖皮质激素(8.8), 表现为(7.3), 治疗(6.7)
333	是呼	5	7	53.47	27.983	全程管理(8.9), 康复(8.3), 运动训练(8.3), 心血管(7.7), 症状(7.3)
334	是呼吸	5	7	53.47	27.983	全程管理(8.9), 康复(8.3), 运动训练(8.3), 心血管(7.7), 症状(7.3)
335	可发	3	7	53.45	27.9804	线胸片(10.9), 全程管理(8.9), 年龄(8.2), 合并症(7.0), 疾病(6.6)
336	患者对	5	7	53.17	27.9448	家庭(10.2), 日常生活(9.6), 评价(8.1), 治疗(6.7), 加重(6.5)
337	数和	3	7	52.76	27.8917	症状(14.7), 急性加重(7.1), 严重(7.0), 效果(6.9), 发作(6.1)
338	的氧	3	7	52.64	27.8759	组织(9.8), 人群(8.9), 心力衰竭(8.3), 功能(7.5), 异常(7.2)
339	或治	3	7	52.15	27.8113	纠正(11.0), 诊断(8.2), 潜在(7.6), 常规(7.3), 治疗(6.7)
340	或治疗	3	7	52.15	27.8113	纠正(11.0), 诊断(8.2), 潜在(7.6), 常规(7.3), 治疗(6.7)
341	慢性疾	5	7	52.02	27.7949	支气管扩张(8.7), 大多数(8.6), 其他(8.5), 合并症(7.0), 患者(6.8)
342	慢性疾病	5	7	52.02	27.7949	支气管扩张(8.7), 大多数(8.6), 其他(8.5), 合并症(7.0), 患者(6.8)
343	对预	4	7	51.77	27.7614	稳定(8.6), 其他(8.5), 因素(7.6), 疾病进展(6.9), 证明(6.9)
344	LABA或	3	7	51.69	27.7509	受体激动剂(8.5), LABALAMAICS(7.7), ICSLABA(7.7), 合并(7.2), 急性加重(7.1)
345	疗主	3	7	51.61	27.7404	首选(8.9), 支气管扩张(8.7), 支气管(7.9), 稳定期(7.7), 吸入(6.5)
346	者死	3	7	51.41	27.713	风险(8.9), 住院(8.8), 终末期(7.8), 常见(7.5), 急性加重(7.1)
347	况的	5	7	51.4	27.7117	报告(11.7), 关键(8.6), 改变(7.9), 患者(6.8), 肺功能检查(5.9)
348	疾病患	7	7	51.34	27.705	足够(10.2), 大多数(8.6), 合并(7.2), 气流受限(7.1), 呼吸(6.9)
349	如有	5	7	50.96	27.6536	咳嗽(10.5), 依据(8.3), 其它(8.2), 下降(8.0), 所有(6.0)
350	特征的	3	7	49.81	27.4968	事件(10.4), 微生物群(9.2), 气流受限(7.1), 加重(6.5), 气道(6.3)
351	和分	4	7	49.27	27.4221	原则(8.8), 严重程度(8.0), 结果(7.6), 治疗(6.7), 轻度(6.2)
352	的首	3	7	49.0	27.3838	禁忌证(9.9), 结果显示(9.2), 患者(6.8), 疾病(6.6), 慢阻肺(6.0)
353	的结果	4	7	48.16	27.2649	人群(8.9), 共同(8.0), 检测(7.4), 患者(6.8), 作用(5.9)
354	β受	12	6	92.89	27.2528	长效(35.0), 短效(23.7), pMDISMI(10.2), 受体激动剂(8.5), 支气管舒张剂(8.4)
355	病与	4	7	47.89	27.2275	减轻(8.2), 心血管(7.7), 急性加重(7.1), 患者(6.8), 治疗(6.7)
356	中增	4	7	47.64	27.1906	度普利尤单抗(8.0), 支气管(7.9), 症状(7.3), 患者(6.8), 管理(6.7)
357	和预防	4	6	89.52	27.0331	访视(17.7), 处理(16.6), 诊断(16.4), 全球(16.3), 未来(15.5)
358	和气道	4	6	86.29	26.8155	哮喘(22.4), 简称(21.6), 反应(14.0), 黏液高分泌(11.4), 微生物群(9.2)
359	β激	5	6	84.34	26.68	长效(35.0), 吸入(13.1), 胆碱(10.6), 缓解(9.4), 激动剂(8.5)
360	一医	12	5	202.45	26.577	附属(122.1), 呼吸(34.4), 广州(32.7), 国家(7.3), 慢阻肺(6.0)
361	的策	4	6	76.12	26.0725	试验(19.9), 临床(17.4), 设计(17.1), 问题(10.1), 提高(6.8)
362	功率	3	6	73.78	25.8873	试验(19.9), 运动(16.8), 职业(12.3), 控制(9.1), 戒烟(8.9)
363	第一医	12	5	174.95	25.851	附属(122.1), 广州(32.7), 国家(7.3), 呼吸(6.9), 慢阻肺(6.0)
364	程和	4	6	70.78	25.6415	改变(15.7), 疾病进展(13.9), 疾病(13.2), 咳嗽咳痰(9.9), 缩短(9.3)
365	难等	3	6	70.25	25.5975	症状(22.0), 咳嗽咳痰(19.8), 咳痰(8.9), 患者(6.8), 治疗(6.7)
366	生和	7	6	69.86	25.5646	妊娠(29.6), 黏液高分泌(11.4), 临床(8.7), 国家(7.3), 增加(6.6)
367	进行性	7	6	69.14	25.5033	持续(18.2), 恶化(16.5), 加重(13.0), 引起(9.9), 呼吸困难(7.6)
368	常肺	5	6	68.82	25.4758	心力衰竭(16.7), 栓塞(16.3), 轨迹(13.0), 更新要点(9.3), 所致(6.8)
369	肿的	5	6	67.87	25.3935	引起(19.7), 升高(14.1), 组织(9.8), 切除(9.8), 改变(7.9)
370	和临	5	6	67.21	25.3358	意义(26.6), 获益(10.5), 住院(8.8), 症状(7.3), 急性加重(7.1)
371	和康	3	6	67.15	25.3304	教育(20.5), 健康(18.1), 焦虑(9.5), 指导(7.1), 治疗(6.7)
372	和康复	3	6	67.15	25.3304	教育(20.5), 健康(18.1), 焦虑(9.5), 指导(7.1), 治疗(6.7)
373	的戒	4	6	66.45	25.2686	提供(19.0), 咨询(13.0), 帮助(11.2), 意愿(9.8), 稳定期(7.7)
374	的戒烟	4	6	66.45	25.2686	提供(19.0), 咨询(13.0), 帮助(11.2), 意愿(9.8), 稳定期(7.7)
375	的正	6	6	65.95	25.2241	引起(19.7), 升高(14.1), 肺气肿(11.8), 下降(8.0), 吸入装置(6.9)
376	物和	7	6	65.56	25.1887	燃烧(25.1), 代谢(11.2), 糖皮质激素(8.8), 无创通气(7.0), 吸入装置(6.9)
377	疗呼吸	4	6	63.88	25.0349	康复(25.0), 噻托溴铵(11.3), 运动(8.4), 患者(6.8), 治疗(6.7)
378	异常的	4	6	63.55	25.0049	反应(14.0), 患者(13.7), 炎症(11.9), 蛋白(10.8), 功能(7.5)
379	及相	3	6	63.34	24.9855	药物(15.4), 治疗(13.3), 负担(10.8), 风险(8.9), 因素(7.6)
380	患者呼	7	6	63.32	24.9832	症状(22.0), 酸中毒(10.1), 康复(8.3), 减轻(8.2), 定义(7.6)
381	的专	4	6	62.9	24.9436	领域(25.3), 试验(10.0), 临床(8.7), 疾病(6.6), 中国(6.3)
382	治疗等	5	6	62.85	24.9392	康复(16.7), 方面(15.8), 基层(8.9), 依据(8.3), 呼吸(6.9)
383	及与	3	6	62.33	24.8905	异常(14.5), 反应(14.0), 炎症(11.9), 其他(8.5), 呼吸(6.9)
384	肺血	8	6	61.47	24.8084	栓塞(24.5), 开始(8.4), 改变(7.9), 机制(7.6), 疾病(6.6)
385	或呼吸	4	6	60.14	24.6791	潴留(13.1), 疲劳(12.7), 酸中毒(10.1), 咳嗽咳痰(9.9), 早期(7.6)
386	及呼	6	6	60.12	24.6771	肺功能(16.5), 症状(14.7), 耐力(7.8), 呼吸道感染(7.4), 呼吸(6.9)
387	及呼吸	6	6	60.12	24.6771	肺功能(16.5), 症状(14.7), 耐力(7.8), 呼吸道感染(7.4), 呼吸(6.9)
388	药物可	6	6	59.37	24.6033	咨询(13.0), 帮助(11.2), 茶碱(10.8), 手口协调(9.7), 药物(7.7)
389	用对	4	6	59.33	24.5987	患者(13.7), 避免(11.6), 抑郁(11.3), 舒张剂(8.3), 症状(7.3)
390	急性加重和	6	6	59.2	24.5859	合并症(14.0), 频繁(10.9), 疑似(10.3), 住院(8.8), 血嗜酸粒细胞(8.5)
391	性加重和	6	6	59.2	24.5859	合并症(14.0), 频繁(10.9), 疑似(10.3), 住院(8.8), 血嗜酸粒细胞(8.5)
392	教育的	3	6	59.19	24.5853	内容(16.8), 污染(9.9), 任务(9.6), 健康(9.1), 全科医生(7.1)
393	育的	4	6	59.19	24.5853	内容(16.8), 污染(9.9), 任务(9.6), 健康(9.1), 全科医生(7.1)
394	ICS吸	4	6	58.15	24.481	疾病(13.2), 修订(10.3), 困难(9.5), 糖皮质激素(8.8), 其他(8.5)
395	治疗及	4	6	58.15	24.4809	姑息(11.6), 陈亚红(11.3), 肿瘤(10.8), 康复(8.3), 预防(8.3)
396	和管理	4	6	58.15	24.4804	预防(16.6), 治疗(13.3), 方案(8.9), 其他(8.5), 测定(6.0)
397	或心	3	6	57.96	24.4616	患者(13.7), 骤停(12.0), 损伤(10.7), 意识(7.7), 合并症(7.0)
398	加重或	6	6	57.31	24.3951	其他(17.0), 住院(8.8), 升级(8.2), LAMALABALAMA(8.0), ICSLABA(7.7)
399	chinagpnetcn	18	6	57.27	24.3905	指南(16.6), 解读(10.6), 随访(9.6), patientswith(8.8), 患者(6.8)
400	因素是	3	6	57.19	24.3819	遗传(11.4), 环境(11.4), 暴露(11.2), 烟草烟雾(9.0), 未来(7.7)
401	素是	3	6	57.19	24.3819	遗传(11.4), 环境(11.4), 暴露(11.2), 烟草烟雾(9.0), 未来(7.7)
402	者合并	6	6	56.91	24.3528	慢阻肺(18.0), 影像(9.6), 手术(8.7), 指南(8.3), 疾病(6.6)
403	通气的	4	6	56.88	24.3503	越来越(12.4), pMDISMI(10.2), 禁忌证(9.9), 区域(9.5), 需求(8.2)
404	物对	3	6	56.81	24.3434	污染(19.7), 三联疗法(10.6), 温度(7.4), 吸入装置(6.9), 提高(6.8)
405	reviewandmeta	5	6	56.75	24.3371	asystematic(17.8), lungcancer(10.3), randomizedcontrolled(10.0), JChest(6.7), ofchronicobstructivepulmonarydisease(6.4)
406	使用的	4	6	56.67	24.3285	允许(12.7), 广泛(10.7), 风险(8.9), 支气管舒张剂(8.4), 基础上(8.3)
407	并慢阻	8	6	56.59	24.3201	患者(20.5), 球菌疫苗(10.6), 急性加重(7.1), 治疗(6.7), 原因(6.0)
408	道重	4	6	56.56	24.317	缩唇(11.5), 哮喘(11.2), 终末(9.9), 细胞(9.7), 呼吸道感染(7.4)
409	管理的	7	6	56.43	24.3031	疾病(13.2), 注意事项(10.5), 规范(9.6), 内容(8.4), 稳定期(7.7)
410	院广	5	5	127.28	24.2712	健康(45.3), 呼吸(34.4), 附属(33.3), 预防(8.3), 慢阻肺(6.0)
411	评估的	4	6	55.2	24.1738	呼吸困难(15.3), 健康状况(9.8), 问卷(9.3), 主要终点(8.3), 目标(7.7)
412	估的	4	6	55.2	24.1738	呼吸困难(15.3), 健康状况(9.8), 问卷(9.3), 主要终点(8.3), 目标(7.7)
413	吸入性糖	10	6	55.06	24.1583	受体激动剂(17.1), 口服(9.9), 激动剂(8.5), 例如(8.2), 联合(7.1)
414	入性糖	10	6	55.06	24.1583	受体激动剂(17.1), 口服(9.9), 激动剂(8.5), 例如(8.2), 联合(7.1)
415	以患	3	6	54.71	24.1213	装置(10.7), 超声心动图(10.7), 临床(8.7), 全身(8.6), 心律失常(8.4)
416	重是	4	6	54.67	24.1163	慢阻肺(18.0), 危及生命(9.9), 栓塞(8.2), 呼吸(6.9), 患者(6.8)
417	的表	4	6	54.45	24.0927	病死率(13.2), 疾病(13.2), 右心(7.9), 功能(7.5), 并发症(7.2)
418	为治	5	6	54.17	24.0621	目标(15.3), 清楚(11.7), 本文(8.5), 呼吸困难(7.6), 急性加重(7.1)
419	用高	6	6	53.84	24.0267	避免(11.6), 死亡(10.1), 优先(9.4), 受体激动剂(8.5), 价值(7.5)
420	及肺	6	6	53.75	24.0171	问卷(18.6), 间隔(9.1), 表现(7.7), 症状(7.3), 气道(6.3)
421	COPD中	3	6	53.65	24.0054	试验(19.9), 全身(8.6), 耐力(7.8), 治疗(6.7), 炎症(6.0)
422	的前	3	6	53.36	23.9733	症状(14.7), 陈典隆寰宇(11.3), 诊断(8.2), 治疗(6.7), 加重(6.5)
423	状及	4	6	53.33	23.9706	健康(18.1), 呼吸困难(7.6), LABAICS(7.3), 急性加重(7.1), 治疗(6.7)
424	及急	5	6	53.32	23.9697	症状(14.7), 风险(8.9), 基础上(8.3), 功能(7.5), 呼吸道感染(7.4)
425	的吸入	6	6	53.05	23.9398	患者(13.7), 临床(8.7), 血嗜酸粒细胞(8.5), 严重程度(8.0), 接种(7.6)
426	数分	3	6	53.04	23.9381	痉挛(13.5), 临床(8.7), 行走(8.3), 支气管(7.9), 呼吸困难(7.6)
427	期吸	3	6	52.28	23.8529	治疗(13.3), 维持(8.8), 其他(8.5), 药物(7.7), 进展(7.6)
428	院和	3	6	52.19	23.8435	医院(14.0), 健康状况(9.8), 社区(9.7), 死亡率(7.5), 症状(7.3)
429	和研	3	6	51.95	23.8159	报告(11.7), 临床(8.7), 设计(8.6), 我国(8.1), 严重程度(8.0)
430	和研究	3	6	51.95	23.8159	报告(11.7), 临床(8.7), 设计(8.6), 我国(8.1), 严重程度(8.0)
431	组患	4	6	51.92	23.8124	允许(12.7), 条件(10.7), 指南(8.3), 联合(7.1), 治疗(6.7)
