词语	频次	PMI	左熵	右熵	得分	删除原因
101136thx	7	7.4618	0.5917	2.2359	10.2894	字母数字混合噪声
比例	3	7.1177	1.585	1.585	10.2877	停用词
相对	12	3.9003	3.1887	3.1887	10.2778	停用词
101378	17	7.4618	1.2577	1.5569	10.2764	纯数字
201732	3	7.7707	1.585	0.9183	10.274	纯数字
101016S2213260018	4	7.4618	0.8113	2.0	10.2731	字母数字混合噪声
GOLD2011	3	7.0989	1.585	1.585	10.2688	字母数字混合噪声
首次	4	6.7639	2.0	1.5	10.2639	停用词
CAT10	5	5.9763	2.3219	1.9219	10.2202	字母数字混合噪声
DOI1012114	6	7.6514	1.9183	0.65	10.2197	字母数字混合噪声
1021037	5	7.4618	1.371	1.371	10.2037	纯数字
JEurRespirJ201648	3	7.0303	1.585	1.585	10.2002	字母数字混合噪声
525DOI	3	7.6514	1.585	0.9183	10.1547	字母数字混合噪声
967DOI	3	7.6514	1.585	0.9183	10.1547	字母数字混合噪声
DOI1019538j	3	7.6514	1.585	0.9183	10.1547	字母数字混合噪声
DOI10118614659921	3	7.6514	1.585	0.9183	10.1547	字母数字混合噪声
543	3	6.9733	1.585	1.585	10.1433	纯数字
AndersonJAetal	3	6.9691	1.585	1.585	10.139	英文人名
174	5	6.9682	1.585	1.585	10.1381	纯数字
201317	3	6.9676	1.585	1.585	10.1375	纯数字
66	10	6.2591	1.9219	1.9219	10.1029	纯数字
101093	7	7.2691	0.5917	2.2359	10.0967	纯数字
121	9	4.9254	2.585	2.585	10.0953	纯数字
DOI1021037	3	6.9144	1.585	1.585	10.0844	字母数字混合噪声
已有	6	5.2274	2.2516	2.585	10.064	停用词
5211	3	6.8859	1.585	1.585	10.0558	纯数字
212DOI10	3	6.8778	1.585	1.585	10.0477	字母数字混合噪声
020	8	8.1976	0.9183	0.9183	10.0342	纯数字
Med2019	6	5.8638	2.2516	1.9183	10.0337	字母数字混合噪声
RespirMed2014	3	8.1957	0.9183	0.9183	10.0323	字母数字混合噪声
ClinicalTrialJ	4	7.0303	1.5	1.5	10.0303	英文人名
101136thoraxjnl	6	7.4618	0.65	1.9183	10.0301	字母数字混合噪声
103760cmajissn	7	7.4618	1.6645	0.8631	9.9894	字母数字混合噪声
LancetRespir	10	8.1431	0.9219	0.9219	9.987	英文人名
197	7	7.9746	1.0	1.0	9.9746	纯数字
1021037atm	3	7.4618	1.585	0.9183	9.965	字母数字混合噪声
101161	3	7.4618	0.9183	1.585	9.965	纯数字
Med2014	5	6.6597	1.371	1.9219	9.9526	字母数字混合噪声
Med2017	6	6.2347	1.4591	2.2516	9.9454	字母数字混合噪声
201914	3	6.7676	1.585	1.585	9.9375	纯数字
535	3	7.3884	1.585	0.9183	9.8916	纯数字
151	11	7.8833	1.0	1.0	9.8833	纯数字
FVC07FEV	3	8.0437	0.9183	0.9183	9.8803	字母数字混合噪声
整体	5	6.0329	1.9219	1.9219	9.8768	停用词
201904	3	8.0214	0.9183	0.9183	9.858	纯数字
JEurRespirJ2016	4	7.0303	2.0	0.8113	9.8415	字母数字混合噪声
1819	3	7.9848	0.9183	0.9183	9.8214	纯数字
41	13	4.5566	2.75	2.5	9.8066	纯数字
然后	4	5.8048	2.0	2.0	9.8048	停用词
认为	4	5.8029	2.0	2.0	9.8029	停用词
大量	9	4.9999	2.0588	2.7255	9.7842	停用词
45	18	6.1833	0.8659	2.7322	9.7813	纯数字
CritCareMed2012	3	7.2711	0.9183	1.585	9.7744	字母数字混合噪声
103760jissn	4	7.4618	0.8113	1.5	9.7731	字母数字混合噪声
43	16	4.757	2.75	2.25	9.757	纯数字
2084	3	7.2537	0.9183	1.585	9.7569	纯数字
各个	3	6.5843	1.585	1.585	9.7542	停用词
201939	3	7.9144	0.9183	0.9183	9.751	纯数字
392	3	7.717	1.0	1.0	9.717	纯数字
101016jchest	5	7.4618	0.7219	1.5219	9.7056	字母数字混合噪声
101007	6	6.4618	0.65	2.585	9.6968	纯数字
20186	7	6.5761	0.5917	2.5216	9.6894	纯数字
541	3	6.4943	1.585	1.585	9.6642	纯数字
DOI103760cmajissn	4	6.8441	2.0	0.8113	9.6553	字母数字混合噪声
RespirJ	25	4.9876	0.8743	3.7835	9.6454	英文人名
方向	5	6.3389	0.971	2.3219	9.6317	停用词
年月	39	8.5966	0.5132	0.5132	9.623	停用词
JinJ	3	7.6152	1.0	1.0	9.6152	英文人名
274	5	7.6121	1.0	1.0	9.6121	纯数字
单一	6	5.1065	2.2516	2.2516	9.6098	停用词
Med2013	5	6.306	1.371	1.9219	9.5989	字母数字混合噪声
2152	4	7.7381	0.9183	0.9183	9.5747	纯数字
524	5	6.7561	0.8113	2.0	9.5674	纯数字
82	10	5.7177	1.9219	1.9219	9.5615	纯数字
MartinezFJetal	3	6.3841	1.585	1.585	9.554	英文人名
1724	3	7.537	1.0	1.0	9.537	纯数字
JEurRespirJ200628	3	7.0303	1.585	0.9183	9.5335	字母数字混合噪声
JChest2012	3	7.0303	1.585	0.9183	9.5335	字母数字混合噪声
JThorax2013	3	7.0303	1.585	0.9183	9.5335	字母数字混合噪声
JEurRespirJ2012	3	7.0303	1.585	0.9183	9.5335	字母数字混合噪声
201712	4	6.0319	1.5	2.0	9.5319	纯数字
40	21	7.5003	1.0	1.0	9.5003	纯数字
1158	3	7.4943	1.0	1.0	9.4943	纯数字
667	3	7.6514	0.9183	0.9183	9.488	纯数字
Med2015	3	6.2853	1.585	1.585	9.4552	字母数字混合噪声
483	3	6.2576	1.585	1.585	9.4275	纯数字
之前	5	6.1301	1.9219	1.371	9.423	停用词
395	4	7.581	0.9183	0.9183	9.4176	纯数字
984	3	7.4057	1.0	1.0	9.4057	纯数字
选用	8	3.8922	2.75	2.75	9.3922	停用词
180	8	7.5308	0.9183	0.9183	9.3674	纯数字
65	18	6.8441	0.9183	1.585	9.3473	纯数字
191	6	6.1723	1.585	1.585	9.3423	纯数字
103760	33	7.4618	0.9654	0.9116	9.3388	纯数字
34	23	5.2806	2.1736	1.8716	9.3257	纯数字
103760cmajcn112147	3	7.4618	0.9183	0.9183	9.2984	字母数字混合噪声
101080	3	7.4618	0.9183	0.9183	9.2984	纯数字
10100214651858CD008989	3	7.4618	0.9183	0.9183	9.2984	字母数字混合噪声
103389	3	7.4618	0.9183	0.9183	9.2984	纯数字
218	5	7.2899	1.0	1.0	9.2899	纯数字
267	5	7.2824	1.0	1.0	9.2824	纯数字
272	5	7.2824	1.0	1.0	9.2824	纯数字
101002	17	7.3793	1.2577	0.6402	9.2772	纯数字
111	9	5.2719	2.0	2.0	9.2719	纯数字
71	10	4.9986	1.9219	2.3219	9.2424	纯数字
分别	5	4.5961	2.3219	2.3219	9.2399	停用词
36	14	5.2251	2.0	2.0	9.2251	纯数字
日期	9	5.5825	1.7527	1.88	9.2152	停用词
424	4	6.0364	1.585	1.585	9.2063	纯数字
适应	6	4.6486	2.2516	2.2516	9.1518	停用词
JRespirCritCareMed2023	3	6.6152	0.9183	1.585	9.1185	字母数字混合噪声
Med2010	4	7.1154	1.0	1.0	9.1154	字母数字混合噪声
234	12	7.2537	0.9219	0.9219	9.0975	纯数字
05	12	7.0907	1.0	1.0	9.0907	纯数字
视为	4	5.5888	1.5	2.0	9.0888	停用词
普通	3	5.9015	1.585	1.585	9.0714	停用词
169	4	7.0613	1.0	1.0	9.0613	纯数字
103760cma	27	7.4618	0.9015	0.6794	9.0426	字母数字混合噪声
但是	6	4.527	2.2516	2.2516	9.0302	停用词
181	6	5.4943	1.5	2.0	8.9943	纯数字
Med2012	4	6.1501	0.8113	2.0	8.9614	字母数字混合噪声
301	5	5.4239	1.5	2.0	8.9239	纯数字
预计	25	7.2364	0.7196	0.9543	8.9102	停用词
1143	3	6.9096	1.0	1.0	8.9096	纯数字
2111	3	5.7287	1.585	1.585	8.8987	纯数字
238	4	6.894	1.0	1.0	8.894	纯数字
分布	3	5.7197	1.585	1.585	8.8896	停用词
5d	3	6.8859	1.0	1.0	8.8859	字母数字混合噪声
JLancet2018391	3	7.0303	0.9183	0.9183	8.8669	字母数字混合噪声
TrialJAmJ	3	7.0303	0.9183	0.9183	8.8669	英文人名
chest2019	3	7.0214	0.9183	0.9183	8.858	字母数字混合噪声
Med2008	3	7.0052	0.9183	0.9183	8.8418	字母数字混合噪声
2021443	3	6.3249	0.9183	1.585	8.8282	纯数字
合适	6	5.3124	2.2516	1.2516	8.8157	停用词
29	18	6.8085	1.0	1.0	8.8085	纯数字
动态	5	5.5089	1.9219	1.371	8.8018	停用词
ChinaJ	4	4.7823	2.0	2.0	8.7823	英文人名
20138	3	6.2773	0.9183	1.585	8.7806	纯数字
394	3	6.7682	1.0	1.0	8.7682	纯数字
DPI5	4	7.1404	0.8113	0.8113	8.763	字母数字混合噪声
201911	3	5.5925	1.585	1.585	8.7624	纯数字
201812	3	5.5922	1.585	1.585	8.7622	纯数字
Rev1	4	5.5874	1.585	1.585	8.7573	字母数字混合噪声
115	5	5.581	1.585	1.585	8.7509	纯数字
72	12	5.5759	1.585	1.585	8.7458	纯数字
53	12	4.7397	2.0	2.0	8.7397	纯数字
672DOI10	3	6.8778	0.9183	0.9183	8.7144	字母数字混合噪声
IntJ	9	6.7408	0.5033	1.4466	8.6906	英文人名
185	6	6.6514	1.0	1.0	8.6514	纯数字
TrialJ	5	6.5448	0.7219	1.371	8.6377	英文人名
2agonist	5	7.167	0.7219	0.7219	8.6108	字母数字混合噪声
Med2009	3	6.7707	0.9183	0.9183	8.6073	字母数字混合噪声
405	3	6.581	1.0	1.0	8.581	纯数字
131	7	5.3947	1.585	1.585	8.5647	纯数字
20077	3	6.6956	0.9183	0.9183	8.5322	纯数字
501	3	5.3568	1.585	1.585	8.5267	纯数字
91DOI10	3	6.6554	0.9183	0.9183	8.492	字母数字混合噪声
CD008989DOI	3	6.6514	0.9183	0.9183	8.488	字母数字混合噪声
EnglJ	19	6.6932	1.1635	0.5907	8.4475	英文人名
20178	3	5.9429	1.585	0.9183	8.4461	纯数字
AmJ	47	6.678	0.881	0.881	8.4399	英文人名
512	4	4.9126	1.5	2.0	8.4126	纯数字
652	4	6.3756	1.0	1.0	8.3756	纯数字
只有	3	5.8648	1.585	0.9183	8.3681	停用词
近期	3	5.1744	1.585	1.585	8.3443	停用词
817	3	6.3414	1.0	1.0	8.3414	纯数字
合理	6	3.4564	2.585	2.2516	8.293	停用词
时机	5	3.9907	1.9219	2.3219	8.2345	停用词
无需	4	4.7025	2.0	1.5	8.2025	停用词
ChronicObstructivePulmonaryDiseaseJ	3	5.0303	1.585	1.585	8.2002	英文人名
即使	3	5.6921	1.585	0.9183	8.1953	停用词
311	5	6.1608	1.0	1.0	8.1608	纯数字
75	10	6.1557	1.0	1.0	8.1557	纯数字
10211	3	4.9593	1.585	1.585	8.1292	纯数字
24	31	6.1246	1.0	1.0	8.1246	纯数字
AnalysisJ	3	5.6152	0.9183	1.585	8.1185	英文人名
224	3	6.1161	1.0	1.0	8.1161	纯数字
62	8	4.8312	1.585	1.585	8.0012	纯数字
113	7	4.8101	1.585	1.585	7.98	纯数字
192DOI10	3	6.1409	0.9183	0.9183	7.9774	字母数字混合噪声
423	3	5.4691	0.9183	1.585	7.9723	纯数字
Med2021	3	4.7889	1.585	1.585	7.9588	字母数字混合噪声
46	9	5.4463	0.9183	1.585	7.9496	纯数字
368	3	5.8101	1.0	1.0	7.8101	纯数字
25	13	5.2686	0.9183	1.585	7.7719	纯数字
117	8	5.7718	1.0	1.0	7.7718	纯数字
特点	5	5.0768	0.7219	1.9219	7.7206	停用词
还是	3	4.5056	1.585	1.585	7.6755	停用词
56	8	5.6741	1.0	1.0	7.6741	纯数字
165	3	5.6463	1.0	1.0	7.6463	纯数字
232	5	5.5455	1.0	1.0	7.5455	纯数字
HeartJ	3	5.0303	0.9183	1.585	7.5335	英文人名
201	6	5.5308	1.0	1.0	7.5308	纯数字
120	6	5.5308	1.0	1.0	7.5308	纯数字
最后	3	4.3523	1.585	1.585	7.5223	停用词
20142	3	4.9605	0.9183	1.585	7.4638	纯数字
430	3	5.4463	1.0	1.0	7.4463	纯数字
PulmonaryDiseaseJ	4	5.1234	0.8113	1.5	7.4347	英文人名
54	10	5.3353	1.0	1.0	7.3353	纯数字
DiseaseJ	5	4.6518	0.7219	1.9219	7.2956	英文人名
125	5	5.2346	1.0	1.0	7.2346	纯数字
ObstructivePulmonaryDiseaseJ	3	4.7083	0.9183	1.585	7.2116	英文人名
相当	3	3.917	1.585	1.585	7.0869	停用词
不会	4	3.0768	2.0	2.0	7.0768	停用词
312	6	4.2413	0.8113	2.0	7.0525	纯数字
37	11	5.0369	1.0	1.0	7.0369	纯数字
J2008	3	4.5278	0.9183	1.585	7.031	字母数字混合噪声
302	3	5.0012	1.0	1.0	7.0012	纯数字
非常	3	4.4364	1.585	0.9183	6.9397	停用词
231	4	4.9093	1.0	1.0	6.9093	纯数字
81	7	4.8888	1.0	1.0	6.8888	纯数字
整合	3	5.0021	0.9183	0.9183	6.8387	停用词
20131	3	4.2926	0.9183	1.585	6.7959	纯数字
35	11	4.6142	1.0	1.0	6.6142	纯数字
相同	3	3.2348	1.585	1.585	6.4047	停用词
20173	3	3.859	1.585	0.9183	6.3623	纯数字
83	5	4.3042	1.0	1.0	6.3042	纯数字
101001	3	4.3463	0.9183	0.9183	6.1829	纯数字
组合	3	3.3864	0.9183	1.585	5.8897	停用词
关联	3	3.973	0.9183	0.9183	5.8096	停用词
441	3	3.2926	1.585	0.9183	5.7959	纯数字
2019DOI10	3	3.234	1.585	0.9183	5.7372	字母数字混合噪声
GOLD1	3	3.5494	1.0	1.0	5.5494	字母数字混合噪声
1310	3	3.4029	1.0	1.0	5.4029	纯数字
33	11	3.3578	1.0	1.0	5.3578	纯数字
